Time,Gaze
00:00:00.7613642,Floor (UnityEngine.MeshCollider)
00:00:00.7829291,Floor (UnityEngine.MeshCollider)
00:00:00.8271758,Floor (UnityEngine.MeshCollider)
00:00:00.9243363,Floor (UnityEngine.MeshCollider)
00:00:01.0218101,Floor (UnityEngine.MeshCollider)
00:00:01.1332754,Floor (UnityEngine.MeshCollider)
00:00:01.3343305,Floor (UnityEngine.MeshCollider)
00:00:01.4362355,Floor (UnityEngine.MeshCollider)
00:00:01.4390951,Floor (UnityEngine.MeshCollider)
00:00:01.4494471,Floor (UnityEngine.MeshCollider)
00:00:01.4612517,Floor (UnityEngine.MeshCollider)
00:00:01.4744186,Floor (UnityEngine.MeshCollider)
00:00:01.5649160,Floor (UnityEngine.MeshCollider)
00:00:01.5761950,Floor (UnityEngine.MeshCollider)
00:00:01.5987532,Floor (UnityEngine.MeshCollider)
00:00:01.6162480,Floor (UnityEngine.MeshCollider)
00:00:01.6331204,Floor (UnityEngine.MeshCollider)
00:00:01.6499845,Floor (UnityEngine.MeshCollider)
00:00:01.6644012,Floor (UnityEngine.MeshCollider)
00:00:01.6784396,Floor (UnityEngine.MeshCollider)
00:00:01.6894321,Floor (UnityEngine.MeshCollider)
00:00:01.7011616,Floor (UnityEngine.MeshCollider)
00:00:01.7078735,Floor (UnityEngine.MeshCollider)
00:00:01.7164466,Floor (UnityEngine.MeshCollider)
00:00:01.7282915,Floor (UnityEngine.MeshCollider)
00:00:01.7384867,Floor (UnityEngine.MeshCollider)
00:00:01.7494977,Floor (UnityEngine.MeshCollider)
00:00:01.7604956,Floor (UnityEngine.MeshCollider)
00:00:01.7718047,Floor (UnityEngine.MeshCollider)
00:00:01.7828782,Floor (UnityEngine.MeshCollider)
00:00:01.7944098,Floor (UnityEngine.MeshCollider)
00:00:01.8055333,Floor (UnityEngine.MeshCollider)
00:00:01.8166570,Floor (UnityEngine.MeshCollider)
00:00:01.8277172,Floor (UnityEngine.MeshCollider)
00:00:01.8388743,Floor (UnityEngine.MeshCollider)
00:00:01.8504817,Floor (UnityEngine.MeshCollider)
00:00:01.8619978,Floor (UnityEngine.MeshCollider)
00:00:01.8733076,Floor (UnityEngine.MeshCollider)
00:00:01.8844750,Floor (UnityEngine.MeshCollider)
